batch_id,model_key,condition_id,state_variant,prompt_template,rule_location,rule_wording_variant,parameter_order_id,parameter_name_variant,parameter_description_variant,tool_name_variant,context_id,baseline_c,word,records,errors,abstentions,tool_call_rate,c_present_rate,threshold_valid_rate,equality_valid_rate,schema_valid_all_rate,strict_only_c_rate,median_c_output,mean_c_output,median_delta_c,mean_sibling_change_l1
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,no_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.03,0.03,,
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,no_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,slightly,100,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.21,0.21,,
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.3,,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.31,0.31,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.3,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.31,0.31,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.38,,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.4,0.4,0.02,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.38,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.39,0.39,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.39,,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.4,0.4,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.39,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.4,0.4,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.4,,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.1,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.4,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.41,0.41,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.59,,100,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.59,slightly,100,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.6,,100,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.7,0.7,0.1,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.6,slightly,100,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.61,0.61,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.61,,100,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.7,0.7,0.09,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.61,slightly,100,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.62,0.62,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_threshold,no_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,,100,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_threshold,no_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,slightly,100,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.34,0.34,,
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_threshold,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.3,,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.31,0.31,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_threshold,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.3,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.31,0.31,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_threshold,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.38,,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.4,0.4,0.02,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_threshold,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.38,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.39,0.39,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_threshold,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.39,,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.4,0.4,0.01,0.0
clean_core_mechanism_split_v2,gemma4-12b,schema_clean43_18_threshold,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_divergent_schema43_18_current24_16,0.39,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.4,0.4,0.01,0.0
