batch_id,model_key,condition_id,state_variant,prompt_template,rule_location,rule_wording_variant,parameter_order_id,parameter_name_variant,parameter_description_variant,tool_name_variant,context_id,baseline_c,word,records,errors,abstentions,tool_call_rate,c_present_rate,threshold_valid_rate,equality_valid_rate,schema_valid_all_rate,strict_only_c_rate,median_c_output,mean_c_output,median_delta_c,mean_sibling_change_l1
clean_core_rule_location_v2,gemma4-12b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,both,default,abc,canonical_abc,none,neutral,clean_ab_31_23_floor_46,0.36,slightly,100,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.46,0.46,0.1,0.0
clean_core_rule_location_v2,gemma4-12b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,none,default,abc,canonical_abc,none,neutral,clean_ab_31_23_floor_46,0.36,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.37,0.37,0.01,0.0
clean_core_rule_location_v2,gemma4-12b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_ab_31_23_floor_46,0.36,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.37,0.37,0.01,0.0
clean_core_rule_location_v2,gemma4-12b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,user_prompt,default,abc,canonical_abc,none,neutral,clean_ab_31_23_floor_46,0.36,slightly,100,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.46,0.46,0.1,0.0
clean_core_rule_location_v2,llama3-8b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,both,default,abc,canonical_abc,none,neutral,clean_ab_31_23_floor_46,0.36,slightly,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,,,,
clean_core_rule_location_v2,llama3-8b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,none,default,abc,canonical_abc,none,neutral,clean_ab_31_23_floor_46,0.36,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.37,0.37,0.01,0.0
clean_core_rule_location_v2,llama3-8b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_ab_31_23_floor_46,0.36,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.37,0.37,0.01,0.0
clean_core_rule_location_v2,llama3-8b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,user_prompt,default,abc,canonical_abc,none,neutral,clean_ab_31_23_floor_46,0.36,slightly,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,,,,
clean_core_rule_location_v2,qwen3-8b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,both,default,abc,canonical_abc,none,neutral,clean_ab_31_23_floor_46,0.36,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.41,0.41,0.05,0.0
clean_core_rule_location_v2,qwen3-8b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,none,default,abc,canonical_abc,none,neutral,clean_ab_31_23_floor_46,0.36,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.365,0.365,0.005,0.0
clean_core_rule_location_v2,qwen3-8b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,clean_ab_31_23_floor_46,0.36,slightly,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,,,,
clean_core_rule_location_v2,qwen3-8b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,user_prompt,default,abc,canonical_abc,none,neutral,clean_ab_31_23_floor_46,0.36,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.36,0.36,0.0,0.0
