batch_id,model_key,condition_id,state_variant,prompt_template,rule_location,rule_wording_variant,parameter_order_id,parameter_name_variant,parameter_description_variant,tool_name_variant,context_id,baseline_c,word,records,errors,abstentions,tool_call_rate,c_present_rate,threshold_valid_rate,equality_valid_rate,schema_valid_all_rate,strict_only_c_rate,median_c_output,mean_c_output,median_delta_c,mean_sibling_change_l1
clean_core_schema_only_v2,gemma4-12b,schema_clean43_18_no_rule,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.03,0.03,,
clean_core_schema_only_v2,gemma4-12b,schema_clean43_18_no_rule,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,moderately,100,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,,
clean_core_schema_only_v2,gemma4-12b,schema_clean43_18_no_rule,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,slightly,100,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,,
clean_core_schema_only_v2,gemma4-12b,schema_clean43_18_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.02,0.02,,
clean_core_schema_only_v2,gemma4-12b,schema_clean43_18_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,moderately,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.02,0.02,,
clean_core_schema_only_v2,gemma4-12b,schema_clean43_18_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.02,0.02,,
clean_core_schema_only_v2,gemma4-12b,schema_open_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.02,0.02,,
clean_core_schema_only_v2,gemma4-12b,schema_open_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,moderately,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.02,0.02,,
clean_core_schema_only_v2,gemma4-12b,schema_open_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.02,0.02,,
clean_core_schema_only_v2,llama3-8b,schema_clean43_18_no_rule,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.03,0.03,,
clean_core_schema_only_v2,llama3-8b,schema_clean43_18_no_rule,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,moderately,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.03,0.03,,
clean_core_schema_only_v2,llama3-8b,schema_clean43_18_no_rule,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.03,0.03,,
clean_core_schema_only_v2,llama3-8b,schema_clean43_18_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.02,0.02,,
clean_core_schema_only_v2,llama3-8b,schema_clean43_18_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,moderately,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.02,0.02,,
clean_core_schema_only_v2,llama3-8b,schema_clean43_18_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.02,0.02,,
clean_core_schema_only_v2,llama3-8b,schema_open_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.02,0.02,,
clean_core_schema_only_v2,llama3-8b,schema_open_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,moderately,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.02,0.02,,
clean_core_schema_only_v2,llama3-8b,schema_open_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,slightly,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.02,0.02,,
clean_core_schema_only_v2,qwen3-8b,schema_clean43_18_no_rule,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,,,,
clean_core_schema_only_v2,qwen3-8b,schema_clean43_18_no_rule,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,moderately,100,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,,
clean_core_schema_only_v2,qwen3-8b,schema_clean43_18_no_rule,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,slightly,100,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,
clean_core_schema_only_v2,qwen3-8b,schema_clean43_18_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,,,,
clean_core_schema_only_v2,qwen3-8b,schema_clean43_18_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,moderately,100,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.4,0.4,,
clean_core_schema_only_v2,qwen3-8b,schema_clean43_18_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,slightly,100,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.4,0.4,,
clean_core_schema_only_v2,qwen3-8b,schema_open_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,,,,
clean_core_schema_only_v2,qwen3-8b,schema_open_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,moderately,100,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.4,,
clean_core_schema_only_v2,qwen3-8b,schema_open_threshold,no_state_required,no_baseline,tool_description,default,abc,canonical_abc,none,neutral,clean_schema_only_schema43_18,,slightly,100,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.4,,
