batch_id,model_key,condition_id,state_variant,prompt_template,rule_location,rule_wording_variant,parameter_order_id,parameter_name_variant,parameter_description_variant,tool_name_variant,context_id,baseline_c,word,records,errors,abstentions,tool_call_rate,c_present_rate,threshold_valid_rate,equality_valid_rate,schema_valid_all_rate,strict_only_c_rate,median_c_output,mean_c_output,median_delta_c,mean_sibling_change_l1
confounder_state_representation_v1,gemma4-12b,threshold_gte_1,no_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,,,1,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,
confounder_state_representation_v1,gemma4-12b,threshold_gte_1,no_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,,slightly,1,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.34,0.34,,
confounder_state_representation_v1,gemma4-12b,threshold_gte_1,prompt_state_optional,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,0.25,,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.3,0.3,0.05,
confounder_state_representation_v1,gemma4-12b,threshold_gte_1,prompt_state_optional,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,0.25,slightly,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.3,0.3,0.05,
confounder_state_representation_v1,gemma4-12b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,0.25,,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.3,0.3,0.05,0.0
confounder_state_representation_v1,gemma4-12b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,0.25,slightly,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.3,0.3,0.05,0.0
confounder_state_representation_v1,gemma4-12b,threshold_gte_1,schema_default_optional,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,0.25,,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.02,0.02,-0.23,
confounder_state_representation_v1,gemma4-12b,threshold_gte_1,schema_default_optional,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,0.25,slightly,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.011,0.011,-0.239,
confounder_state_representation_v1,gemma4-12b,threshold_gte_1,schema_default_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,0.25,,1,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,0.65
confounder_state_representation_v1,gemma4-12b,threshold_gte_1,schema_default_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,0.25,slightly,1,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.34,0.34,0.09,0.35
confounder_state_representation_v1,llama3-8b,threshold_gte_1,no_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,,,1,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,
confounder_state_representation_v1,llama3-8b,threshold_gte_1,no_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,,slightly,1,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0101,0.0101,,
confounder_state_representation_v1,llama3-8b,threshold_gte_1,prompt_state_optional,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,0.25,,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.1,0.0
confounder_state_representation_v1,llama3-8b,threshold_gte_1,prompt_state_optional,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,0.25,slightly,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.3,0.3,0.05,0.0
confounder_state_representation_v1,llama3-8b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,0.25,,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.1,0.0
confounder_state_representation_v1,llama3-8b,threshold_gte_1,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15_c_25,0.25,slightly,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.26,0.26,0.01,0.0
